Species names;Family;Orchard;Maize;Rice;Rubber;Teak;Bambou;Fallow;Community forest;Secondary forest;Occurence
Alstonia scholaris;Apocynaceae;0;0;0;1;0;0;0;0;0;1
Amorphophallus paeoniifolius;Araceae;1;0;0;0;0;0;0;0;0;1
Ardisia polycephala;Myrsinaceae;0;0;0;0;0;0;0;1;0;1
Aristolochia tagala;Aristolochiaceae;0;0;0;0;1;0;0;0;0;1
Artocarpus heterophyllus;Moraceae;1;0;0;0;0;0;0;0;0;1
Bischofia javanica;Phyllanthaceae;0;0;0;1;0;0;0;0;0;1
Blumea mollis;Asteraceae;0;1;0;0;0;0;0;0;0;1
Bombax ceiba;Bombacaceae;1;0;0;0;0;0;0;0;0;1
Borreria alata;Rubiaceae;1;0;0;0;0;0;0;0;0;1
Breynia glauca;Euphorbiaceae;0;0;0;0;0;0;0;1;0;1
Calamus caesius;Arecaceae;1;0;0;0;0;0;0;0;0;1
Carica papaya;Caricaceae;1;0;0;0;0;0;0;0;0;1
Celastrus paniculatus;Celastraceae;0;0;0;0;0;1;0;0;0;1
Citrus maxima;Rutaceae;1;0;0;0;0;0;0;0;0;1
Combretum pilosum;Combretaceae;0;0;0;0;0;0;0;1;0;1
Costus speciosus;Costaceae;0;0;0;0;0;0;0;0;1;1
Cratoxylum cochinchinense;Hypericaceae;0;0;0;0;0;0;0;1;0;1
Croton roxburghii;Euphorbiaceae;0;0;1;0;0;0;0;0;0;1
Curculigo latifolia;Hypoxidaceae;0;0;0;0;0;0;0;1;0;1
Cyperus brevifolius;Cyperaceae;1;0;0;0;0;0;0;0;0;1
Cyperus cyperoides;Cyperaceae;1;0;0;0;0;0;0;0;0;1
Cyperus iria;Cyperaceae;0;0;0;1;0;0;0;0;0;1
Dalbergia ovata;Fabaceae;0;0;1;0;0;0;0;0;0;1
Desmodium gangeticum;Fabaceae;0;0;0;0;0;1;0;0;0;1
Desmodium triflorum;Fabaceae;0;0;0;0;0;1;0;0;0;1
Desmodium velutinum;Fabaceae;0;0;0;0;0;1;0;0;0;1
Dimocarpus longan;Sapindaceae;0;0;0;1;1;0;0;0;0;1
Dioscorea japonica;Dioscoreaceae;0;0;0;0;0;1;0;0;0;1
Dioscorea pentaphylla;Dioscoreaceae;1;0;0;0;0;0;0;0;0;1
Diospyros malabarica;Ebenaceae;0;0;0;1;0;0;0;0;0;1
Diphyllarium mekongense;Fabaceae;0;1;0;0;0;0;0;0;0;1
Echinochloa crusgalli;Poaceae;0;0;0;1;0;0;0;0;0;1
Fernandoa adenophylla;Bignoniaceae;0;0;0;0;0;0;0;1;0;1
Flacourtia jangomas;;0;0;0;0;0;0;0;1;0;1
Gardenia sootepensis;;0;0;0;0;0;0;0;1;0;1
Gnetum sp;;0;0;0;0;0;0;0;1;0;1
Harrisonia perforata;;0;0;0;0;0;0;0;1;0;1
Hopea odorata;;0;0;0;0;0;0;0;1;0;1
